2026-05-02 13:32:46 | INFO | nemweb_pipeline | Database connection started
2026-05-02 13:32:46 | INFO | nemweb_pipeline | Selected business model: custom_dataset_selection
2026-05-02 13:32:46 | INFO | nemweb_pipeline | Selected datasets: rooftop_pv_actual
2026-05-02 13:32:46 | INFO | nemweb_pipeline | Selected date range: 2026-04-26 00:00:00 to 2026-05-02 23:59:59
2026-05-02 13:32:46 | INFO | nemweb_pipeline | Dataset started: rooftop_pv_actual
2026-05-02 13:32:46 | INFO | nemweb_pipeline | Duplicate check result for rooftop_pv_actual: No existing rows were found for the selected period.
2026-05-02 13:32:46 | INFO | nemweb_pipeline | Scanning directory page: https://www.nemweb.com.au/REPORTS/CURRENT/ROOFTOP_PV/ACTUAL/
2026-05-02 13:32:46 | INFO | nemweb_pipeline | Directory response for https://www.nemweb.com.au/REPORTS/CURRENT/ROOFTOP_PV/ACTUAL/ returned HTTP 200
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Found 1347 href entries in https://www.nemweb.com.au/REPORTS/CURRENT/ROOFTOP_PV/ACTUAL/
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Sample hrefs from https://www.nemweb.com.au/REPORTS/CURRENT/ROOFTOP_PV/ACTUAL/: /REPORTS/CURRENT/ROOFTOP_PV/, /REPORTS/CURRENT/ROOFTOP_PV/ACTUAL/PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260418133000_0000000513529821.zip, /REPORTS/CURRENT/ROOFTOP_PV/ACTUAL/PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260418140000_0000000513533099.zip, /REPORTS/CURRENT/ROOFTOP_PV/ACTUAL/PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260418143000_0000000513536463.zip, /REPORTS/CURRENT/ROOFTOP_PV/ACTUAL/PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260418150000_0000000513539782.zip, /REPORTS/CURRENT/ROOFTOP_PV/ACTUAL/PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260418153000_0000000513543234.zip, /REPORTS/CURRENT/ROOFTOP_PV/ACTUAL/PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260418160000_0000000513546723.zip, /REPORTS/CURRENT/ROOFTOP_PV/ACTUAL/PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260418163000_0000000513550217.zip, /REPORTS/CURRENT/ROOFTOP_PV/ACTUAL/PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260418170000_0000000513553549.zip, /REPORTS/CURRENT/ROOFTOP_PV/ACTUAL/PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260418173000_0000000513556914.zip
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Matched file link: https://www.nemweb.com.au/REPORTS/CURRENT/ROOFTOP_PV/ACTUAL/PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260418133000_0000000513529821.zip
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Matched file link: https://www.nemweb.com.au/REPORTS/CURRENT/ROOFTOP_PV/ACTUAL/PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260418140000_0000000513533099.zip
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Matched file link: https://www.nemweb.com.au/REPORTS/CURRENT/ROOFTOP_PV/ACTUAL/PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260418143000_0000000513536463.zip
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Matched file link: https://www.nemweb.com.au/REPORTS/CURRENT/ROOFTOP_PV/ACTUAL/PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260418150000_0000000513539782.zip
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Matched file link: https://www.nemweb.com.au/REPORTS/CURRENT/ROOFTOP_PV/ACTUAL/PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260418153000_0000000513543234.zip
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Matched file link: https://www.nemweb.com.au/REPORTS/CURRENT/ROOFTOP_PV/ACTUAL/PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260418160000_0000000513546723.zip
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Matched file link: https://www.nemweb.com.au/REPORTS/CURRENT/ROOFTOP_PV/ACTUAL/PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260418163000_0000000513550217.zip
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Matched file link: https://www.nemweb.com.au/REPORTS/CURRENT/ROOFTOP_PV/ACTUAL/PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260418170000_0000000513553549.zip
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Matched file link: https://www.nemweb.com.au/REPORTS/CURRENT/ROOFTOP_PV/ACTUAL/PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260418173000_0000000513556914.zip
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Matched file link: https://www.nemweb.com.au/REPORTS/CURRENT/ROOFTOP_PV/ACTUAL/PUBLIC_ROOFTOP_PV_ACTUAL_MEASUREMENT_20260418180000_0000000513560227.zip
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Scanning directory page: https://www.nemweb.com.au/REPORTS/ARCHIVE/ROOFTOP_PV/ACTUAL/
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Directory response for https://www.nemweb.com.au/REPORTS/ARCHIVE/ROOFTOP_PV/ACTUAL/ returned HTTP 200
2026-05-02 13:32:47 | INFO | nemweb_pipeline | Found 109 href entries in https://www.nemweb.com.au/REPORTS/ARCHIVE/ROOFTOP_PV/ACTUAL/
